disaron_nom,nom_fichier,url_fichier
IraAbo22012,2022_12_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22012/2022_12_InforapOvins.pdf
IraAbo22020,2022_20_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22020/2022_20_InforapBovins.pdf
IraAbo22021,2022_21_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22021/2022_21_InforapPorcins.pdf
IraAbo22022,2022_22_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22022/2022_22_InforapOvins.pdf
IraAbo22028,2022_28_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22028/2022_28_InforapBovins.pdf
IraAbo22030,2022_30_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22030/2022_30_InforapOvins.pdf
IraAbo22042,2022_42_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22042/2022_42_InforapBovins.pdf
IraAbo22043,2022_43_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22043/2022_43_InforapPorcins.pdf
IraAbo22044,2022_44_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22044/2022_44_InforapOvins.pdf
IraAbo22056,2022_56_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22056/2022_56_InforapBovins.pdf
IraAbo22057,2022_57_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22057/2022_57_InforapPorcins.pdf
IraAbo22058,2022_58_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22058/2022_58_InforapOvins.pdf
