Disaron_lien_origine,Nom_Disaron,Titre Disaron,Paru le,Annee_1re publication,Publication-Tableau-Carte,Collection Libellé Agreste,Sous-Collection Libellé Agreste,Sous-collection (nom court),Thèmes_CORRIGÉS,Thème CORRIGÉ-1,Thème CORRIGÉ-2,NB-THEM,Pondération,Descripteurs
,IraCpr25163,Coûts de production. Prix des intrants en octobre 2025 : en baisse sur un mois et sur un an,2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Coûts de production,Coûts de production,PRIX,,,,,
,IraLai25164,Lait. Octobre 2025 : la collecte de lait de vache continue de progresser sur un an,2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Lait,Lait,LAIT,,,,,
,IraCex25165,"Commerce extérieur agroalimentaire. En octobre 2025, baisse de l’excédent agroalimentaire sous l’effet des échanges de produits transformés",2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Commerce extérieur,Commerce extérieur,COMEXT,,,,,
,IraGcu25166,Grandes cultures. Surfaces des cultures d’hiver en hausse en 2026 et relèvement des prévisions sur les récoltes d’automne 2025,2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Grandes cultures,Grandes cultures,GC,,,,,
,IraPri25168,"Prix agricoles et alimentaires. En novembre 2025, les prix à la production progressent de 1,9 % sur un an",2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Prix,Prix,PRIX,,,,,
,IraAbo25169,"Bovins. En novembre 2025, légère hausse des abattages de gros bovins",2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,BOVIN,,,,,BOVIN
,IraAbo25170,"Ovins. En novembre, hausse des abattages d’agneaux sur un an",2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,CAPOV,,,,,OVIN
,IraAbo25171,"Porcins. En novembre, repli des abattages de porcs sur un an",2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,PORC,,,,,PORCIN
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraBoi18049/detail/,IraBoi18049,Bois et dérivés. Le déficit de la filière bois se creuse en 2017,2018_04,2018,p,Conjoncture – Infos Rapides,Infos Rap - Bois et dérivés,Bois et dérivés,BOISECO|COMEXT,BOISECO,COMEXT,2,48,CONJONCTURE| EXPORTATION| IMPORTATION
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraBoi144/detail/,IraBoi144,"Bois et dérivés. Entre juillet 2017 et juin 2018, le déficit de la filière bois continue de se creuser",2018_10,2018,p,Conjoncture – Infos Rapides,Infos Rap - Bois et dérivés,Bois et dérivés,BOISECO|COMEXT,BOISECO,COMEXT,2,21,CONJONCTURE| EXPORTATION| IMPORTATION
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraBoi024/detail/,IraBoi024,"Bois et dérivés.En 2018, les exportations atteignent 10 milliards d’euros",2019_02,2019,p,Conjoncture – Infos Rapides,Infos Rap - Bois et dérivés,Bois et dérivés,BOISECO|COMEXT,BOISECO,COMEXT,2,64,CONJONCTURE| EXPORTATION| IMPORTATION
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraBoi19121/detail/,IraBoi19121,"Bois et dérivés.Entre juillet 2018 et juin 2019, le déficit de la filière bois continue de se creuser",2019_08,2019,p,Conjoncture – Infos Rapides,Infos Rap - Bois et dérivés,Bois et dérivés,BOISECO|COMEXT,BOISECO,COMEXT,2,7,
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraGcu21071/detail/,IraGcu21071,Grandes cultures et fourrages. Une nouvelle baisse de la production de colza en 2021 et un rebond pour celle d’orges d’hiver,2021_06,2021,p,Conjoncture – Infos Rapides,Infos Rap - Grandes cultures,Grandes cultures,GC|FOURRAGE,GC,FOURRAGE,2,806,
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/Iralai2316/detail/,Iralai2316,Lait. La collecte de lait de vache recule en décembre,2023_02,2023,p,Conjoncture – Infos Rapides,Infos Rap - Lait,Lait,LAIT|CLIMAT,LAIT,CLIMAT,2,239,
